SexPosID,DisplayName,MotionFile,GroupType,IsActive,Order,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P110,P120,P130,P140,P150,P160,P170,P180,P190,P200,P210,P220,P230,IsDialogueAllowed,IsChoosable,IsBGGroupUse,Phase,MaidIndex,ManIndex,dummy
11,ドスケベビッチ輪姦3P腕持ち後背位,sex_ran3p_udemoti_kouhaii_fera.ks,MMF,TRUE,23,,,,,,85300,85300,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,2,0,0;1,
12,ドスケベビッチ輪姦3P両穴駅弁,sex_ran3p_ekiben.ks,MMF,TRUE,24,,,,,,85320,85320,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,2,0,0;1,
13,輪姦3P両穴駅弁,sex_ran3p_ekiben.ks,MMF,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,1,0,0;1,
14,肉便器正常位,sex_OM_seijyoui.ks,MF,TRUE,50,77060,77060,77060,80060,80060,80060,80060,77060,77060,77060,79060,79060,79060,79060,79060,79060,80060,80060,80860,80860,80860,80860,106500,FALSE,TRUE,TRUE,3,0,0;1,
15,肉便器アナル正常位,sex_OM_seijyouiA.ks,MF,TRUE,51,77070,77070,77070,80070,80070,80070,80070,77070,77070,77070,79070,79070,79070,79070,79070,79070,80070,80070,80870,80870,80870,80870,106510,FALSE,TRUE,TRUE,3,0,0;1,
16,肉便器後背位,sex_OM_kouhaii.ks,MF,TRUE,52,77080,77080,77080,80080,80080,80080,80080,77080,77080,77080,79080,79080,79080,79080,79080,79080,80080,80080,80880,80880,80880,80880,106520,FALSE,TRUE,TRUE,3,0,0;1,
17,肉便器アナル後背位,sex_OM_kouhaiiA.ks,MF,TRUE,53,77090,77090,77090,80090,80090,80090,80090,77090,77090,77090,79090,79090,79090,79090,79090,79090,80090,80090,80890,80890,80890,80890,106530,FALSE,TRUE,TRUE,3,0,0;1,
100,駅弁,sex_OM_haimenekiben.ks,MF,TRUE,1000,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,-1,0,0,
101,手コキ,sex_OM_tekoki.ks,MF,TRUE,1001,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,-1,0,0,
102,イラマチオ,sex_OM_fera_ir.ks,MF,TRUE,1002,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,-1,0,0,
103,立ち手コキ＆愛撫,sex_tati_tekoki_aibu.ks,MF,TRUE,1003,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,-1,0,0,
104,フェラチオ,sex_OM_fera.ks,MF,TRUE,1004,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,-1,0,0,
21,輪姦3Pセックス正常位,sex_ran3p_seijyoui_kuti.ks,MMF,TRUE,31,,,,,,,,,,,,,,,,,,,73000,73000,,,103000,FALSE,TRUE,TRUE,1,0,0;1,
22,輪姦3P両穴抱え正常位,sex_ran3p_2ana_kakae_sex.ks,MMF,TRUE,32,,,,,,,,,,,,,,,,,,,74000,74000,,,104000,FALSE,TRUE,TRUE,1,0,0;1,
23,輪姦3P両穴セックス,sex_ran3p_2ana.ks,MMF,TRUE,33,,,,,,,,,,,,,,,,,,,74010,74010,,,104010,FALSE,TRUE,TRUE,1,0,0;1,
24,輪姦3P腕持ち両穴セックス,sex_ran3p_ude_2ana.ks,MMF,TRUE,34,,,,,,,,,,,,,,,,,,,74020,74020,,,104020,FALSE,TRUE,TRUE,1,0,0;1,
