SexPosID,DisplayName,MotionFile,GroupType,IsActive,Order,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P110,P120,P130,P140,P150,P160,P170,P180,P190,P200,P210,P220,P230,IsDialogueAllowed,IsChoosable,IsBGGroupUse,Phase,MaidIndex,ManIndex,dummy
11,拘束まんぐり返しセックス,sex_kousoku_manguri.ks,MF,TRUE,11,54000,54000,54000,54000,54000,54000,54000,39000,39000,39000,39000,39000,39000,54000,54000,39000,54000,54000,70000,70000,54000,54000,100000,TRUE,TRUE,TRUE,2,0,0,
12,拘束まんぐり返しアナルセックス,sex_kousoku_manguriA.ks,MF,TRUE,12,54010,54010,54010,54010,54010,54010,54010,39010,39010,39010,39010,39010,39010,54010,54010,39010,54010,54010,70010,70010,54010,54010,100010,TRUE,TRUE,TRUE,2,0,0,
13,拘束立ち後背位セックス,sex_kousoku_tati_kouhaii.ks,MF,TRUE,13,54190,54190,54190,54190,54190,54190,54190,39190,39190,39190,39190,39190,39190,54190,54190,39190,54190,54190,70190,70190,54190,54190,100190,TRUE,TRUE,TRUE,2,0,0,
14,拘束立ち後背位アナルセックス,sex_kousoku_tati_kouhaiiA.ks,MF,TRUE,14,54200,54200,54200,54200,54200,54200,54200,39200,39200,39200,39200,39200,39200,54200,54200,39200,54200,54200,70200,70200,54200,54200,100200,TRUE,TRUE,TRUE,2,0,0,
15,開脚セックス正常位,sex_kaikyaku_seijyoui.ks,MF,TRUE,15,54430,54430,54430,54430,54430,54430,54430,39430,39430,39430,39430,39430,39430,54430,54430,39430,54430,54430,70430,70430,54430,54430,100430,TRUE,TRUE,TRUE,2,0,0,
16,開脚アナルセックス正常位,sex_kaikyaku_seijyouiA.ks,MF,TRUE,16,54440,54440,54440,54440,54440,54440,54440,39440,39440,39440,39440,39440,39440,54440,54440,39440,54440,54440,70440,70440,54440,54440,100440,TRUE,TRUE,TRUE,2,0,0,
17,吊るし拘束後背位,sex_turusi_kouhaii.ks,MF,TRUE,17,54570,54570,54570,54570,54570,54570,54570,39570,39570,39570,39570,39570,39570,54570,54570,39570,54570,54570,70570,70570,54570,54570,100570,TRUE,TRUE,TRUE,2,0,0,
18,吊るし拘束アナル後背位,sex_turusi_kouhaiiA.ks,MF,TRUE,18,54580,54580,54580,54580,54580,54580,54580,39580,39580,39580,39580,39580,39580,54580,54580,39580,54580,54580,70580,70580,54580,54580,100580,TRUE,TRUE,TRUE,2,0,0,
19,台上セックス背面立位,sex_daijyou_kouhaii2.ks,MF,TRUE,19,53800,53800,53800,53800,53800,53800,53800,38800,38800,38800,38800,38800,38800,53800,53800,38800,53800,53800,69800,69800,53800,53800,99800,TRUE,TRUE,TRUE,2,0,0,
20,台上アナルセックス背面立位,sex_daijyou_kouhaii2A.ks,MF,TRUE,20,53810,53810,53810,53810,53810,53810,53810,38810,38810,38810,38810,38810,38810,53810,53810,38810,53810,53810,69810,69810,53810,53810,99810,TRUE,TRUE,TRUE,2,0,0,
21,セックスソファーまんぐり返しセックス,sex_sexsofa_manguri.ks,MF,TRUE,21,54330,54330,54330,54330,54330,54330,54330,39330,39330,39330,39330,39330,39330,54330,54330,39330,54330,54330,70330,70330,54330,54330,100330,TRUE,TRUE,TRUE,2,0,0,
22,セックスソファーまんぐり返しアナルセックス,sex_sexsofa_manguriA.ks,MF,TRUE,22,54340,54340,54340,54340,54340,54340,54340,39340,39340,39340,39340,39340,39340,54340,54340,39340,54340,54340,70340,70340,54340,54340,100340,TRUE,TRUE,TRUE,2,0,0,
23,セックスソファー後背位,sex_sexsofa_kouhaii.ks,MF,TRUE,23,54350,54350,54350,54350,54350,54350,54350,39350,39350,39350,39350,39350,39350,54350,54350,39350,54350,54350,70350,70350,54350,54350,100350,TRUE,TRUE,TRUE,2,0,0,
24,セックスソファーアナル後背位,sex_sexsofa_kouhaiiA.ks,MF,TRUE,24,54360,54360,54360,54360,54360,54360,54360,39360,39360,39360,39360,39360,39360,54360,54360,39360,54360,54360,70360,70360,54360,54360,100360,TRUE,TRUE,TRUE,2,0,0,
100,だいしゅきホールドセックス正常位,sex_OM_seijyoui.ks,MF,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,3,0,0,
101,結婚寄り添い愛撫,sex_OM_yorisoi_aibu.ks,MF,TRUE,101,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,3,0,0,
102,結婚手コキ愛撫,sex_tekoki_aibu.ks,MF,TRUE,102,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,3,0,0,
103,セックス後背位,sex_OM_kouhaii.ks,MF,TRUE,103,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,3,0,0,
104,結婚立ち愛撫,sex_tati_aibu.ks,MF,TRUE,104,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,3,0,0,
